Texts,Label
Gen นี้ไม่สวยไม่ว้าว,"[""Gen นี้"", ""neg"", [""ไม่สวย"", ""ไม่ว้าว""]]"
Honda City คือรถคันแรกเลยค่ะ…ใช้ยาว ๆ มาเกือบ 10 ปี ขับดี ขับสนุก ไม่มีงอแง แต่ล่าสุดขยับมาเป็น Civic e:HEV RS ขับสนุก ขับสบาย ซิ่งสนุก ยอมรับว่าเทคโนโลยี e:HEV เค้าดีจริง ๆ ค่ะ,"[[""Honda City"", ""pos"", ""ขับดี"", ""ขับสนุก""], [""Civic e:HEV RS"", ""pos"", ""ขับสนุก"", ""ขับสบาย"", ""ซิ่งสนุก"", ""เทคโนโลยี e:HEV""]]"
Honda กัักหว่ะ กำตังไว้รอ พอเห็นคือไม่ซื้อละบาย,"[""Honda"", ""neg"", [""กััก"",""ไม่ซื้อ""]]"
Land watch นารำคาญจริงครับ ออกcivic Fe มาปิดทั้งครับไม่ชอบที่ตบไฟเลี้ยวซ้ายแล้วกล้องติด,"[""Land watch"",""neg"",""น่ารำคาญ""]"
Okครับ สวยครับ,"[""ดีไซน์"", ""pos"", ""สวย""]"
กล้องรอบคัน-Wireless charger-Blind spot เทคโนโลยีที่ฮอนด้าหวงแหน ยังไงก็ไม่ใส่ให้นะ,"[[""กล้องรอบคัน"", ""neg"", ""ไม่ใส่""], [""Wireless charger"", ""pos"", ""ใส่""], [""Blind spot"", ""neg"", ""ไม่ใส่""]]"
กั๊กเสมอต้นเสมอปลาย ราคานี้ไปค่ายอื่นคุ้มค่ากว่า ไฟท้ายยังเป็นหลอดอยู่เลย กล้อง360ก็ไม่ใส่มาให้ นี้ตัว RS ไม่ไหวๆ,"[[""กั๊ก"", ""neg"", ""กั๊กเสมอต้นเสมอปลาย""], [""ราคานี้"", ""neg"", ""คุ้มค่ากว่า""], [""ไฟท้าย"", ""neg"", ""เป็นหลอด""], [""กล้อง360"", ""neg"", ""ใส่มาให้""], [""ตัว RS"", ""neg"", ""ไหวๆ""]]"
กั๊กออฟชั่น แต่คุณภาพดีจะไม่ว่า นี่ปัญหาแรคแก้หรือยังเหอะ,"[[""กั๊กออฟชั่น"", ""neg"", ""คุณภาพดี""], [""นี่"", ""neg"", ""ปัญหาแรคแก้""]]"
ความจริง Honda เก่งเรื่องเทคโนโลยีน่ะ แต่ทำไมชอบกั๊กไว้ ราคาก็แพง,"[[""Honda"", ""pos"", ""เก่งเรื่องเทคโนโลยี""], [""Honda"", ""neg"", ""กั๊กเทคโนโลยีไว้""], [""ราคา"", ""neg"", ""แพง""]]"
ความสวย ยกให้ค่ายนี้จริงๆ โคตรรรรสวย คนแก่แถวบ้านไม่รู้จักรถ แต่ถ้าเป็นฮอนด้า เค้าจะพูดเลยว่ามันสวย แต่เรื่องอื่นๆ...,"[[""ดีไซน์ฮอนด้า"", ""pos"", ""โคตรรรรสวย""]]"
แค่ Blind spot ยังไม่ให้เล้ยย  โครตจะกั๊กไปถึงไหน,"[[""Blind spot"", ""neg"", ""ไม่ให้""], [""ออปชั่น"", ""neg"", ""กั๊ก""]]"
ใครจะว่าสวยไม่สวย แต่กูชอบมาก โคตรเรียบหรู,"[[""ดีไซน์"",""pos"",[""ชอบ"",""เรียบหรู""]]]"
ใครไม่ชอบ แต่ กูชอบ 55555,"[""รถ"",""pos"",""ชอบ""]"
จอกลางเปลี่ยนเถอะ ทำรถดูเก่ามาก,"[""จอกลาง"",""neg"",""ทำรถดูเก่า""]"
จอกลางมันเล็กไปมั้ยอ่ะ กับรถ พ.ศ. นี้,"[""จอกลาง"", ""neg"", ""เล็ก""]"
จากใจแฟนซิวิค ท้าวแขนเบาะหลังก็ยังง่อยอยู่เหมือนเดิมมาแบบนี้จะร้อยปีแล้วมั้ง(ประชด)!ดูถูกคนไทยสุดๆ หรือเพราะมั่นใจว่ายังไงก็ขายได้ขายดี!แม้กระทั่งแอคคอร์ดก็ยังง่อย!,"[[""ท้าวแขนเบาะหลัง"", ""neg"", ""ง่อย""], [""แอคคอร์ด"", ""neg"", ""ง่อย""]]"
จุดเด่นคือ ฮอนด้า จุดด้อยคือไม่คุ้มค่า ด้วยราคาเเละของที่ให้มา," [[""จุดเด่น"", ""pos"", ""ฮอนด้า""],[""จุดด้อย"", ""neg"", ""ไม่คุ้มค่า""],[""ราคา"", ""neg"", ""ราคา""],[""ของที่ให้มา"", ""neg"", ""ของที่ให้มา""]]"
ช่วงนี้ฝนตกมีน้ำท่วมขังหรือท้องร่องมันจะผ่านได้ไหมครับช่วงล่างดูเตี้ยจังแต่ชอบดีไซล์?????,"[[""ช่วงล่าง"", ""neg"", ""เตี้ย""], [""ดีไซน์"", ""pos"", ""ชอบ""]]"
ชอบครับ  ภายในดูโง่ๆ เชยดี เหมือนรถคันเก่าปู่ผมเลย  นี่ชมนะครับ,"[[""ชอบ"", ""pos"", ""ชอบ""],[""ภายใน"", ""neg"", ""โง่ๆ"", ""เชยดี""],[""รถคันเก่าปู่ผม"", ""neg"", []],[""นี่ชมนะครับ"", ""pos"", []]]"
ชอบภายในจริงๆครับรุ่นนี้,"[""ภายใน"",""pos"",""ชอบ""]"
ชอบมา สวยทุกรุ่น อยากมี civic สักคันในชีวิต,"[""civic"", ""pos"", [""ชอบ"", ""สวย"", ""อยากมี""]]"
ซิตตี้แปดแสนไม่มีกล้องพอทนแต่ซีวิคล้านสองไม่มีกล้องรอบคันเนี่ยไม่เอาไหน??แต่ชอบดีไซร์นะสวย,"[[""ซิตตี้"", ""neg"", ""แปดแสน"", ""ไม่มีกล้องพอทน""], [""ซีวิคล้านสอง"", ""neg"", ""ไม่มีกล้องรอบคัน""], [""ดีไซร์"", ""pos"", ""สวย""]]"
ซีวิคก็คือ ซีวิค ไม่ว่าจะลดมากน้อย ก็ ชอบ ซีวิค เพราะมันคือ ตำนาน ยาวนาน ชื้อเพระชอบ ชอบ," [[""ซีวิค"", ""pos"", ""ชอบ""], [""ซีวิค"", ""pos"", ""ชอบ""], [""ซีวิค"", ""pos"", ""ชอบ""]]"
ซีวิคใหม่สวยมากแต่ไม่มีอุปกรณ์อะไรเลยเครื่องก็เหมือนเดิมกล้องก็ไม่มีจะไปสู้รถทางจีนเขาได้หรือซีวิคใหม่มีแต่ชื่อทางค่ายญี่ปุ่นเพราะผมก็ใช้รถก็แพงก่วาทางจีนด้วย,"[[""ซีวิคใหม่"", ""pos"", ""สวยมาก""], [""อุปกรณ์"", ""neg"", ""ไม่มีอะไรเลย""], [""เครื่อง"", ""neg"", ""เหมือนเดิม""], [""กล้อง"", ""neg"", ""ไม่มี""], [""ซีวิคใหม่"", ""neg"", ""มีแต่ชื่อ""], [""ทางค่ายญี่ปุ่น"", ""neg"", ""เพราะ""], [""รถก็แพง"", ""neg"", ""ก่วาทางจีนด้วย""]]"
แต่ก่อนว้าวนะcivic เดี๋ยวนี้งั้นๆไม่ได้ว้าวอะไรแถมเดี๋ยวนี้ชอบลดสเปกในจุดอับสายตาและไม่ทนเหมือนแต่ก่อน ในกลุ่มบ่นกันมากเรื่องนี้ สุดท้ายกลายเป็นรถตัวเลือกรองๆ เพราะในปัจจุบันตอนนี้ตัวเลือกมีมากกว่า ออฟชั่นมากกว่าถูกกว่า เลยหันไปมองค่ายอื่นที่คุ้มกว่าcivic,"[[""civic"", ""neg"", ""งั้นๆ""], [""สเปก"", ""neg"", ""ลดสเปกในจุดอับสายตา""], [""ค่ายอื่น"", ""pos"", ""คุ้มกว่า""]]"
ถ้าเป็นเมื่อก่อนตัดสินใจไม่ยาก civic แน่นอน แต่ถ้าเดี่ยวนี้คิดหนักเลย มองไปทางรถจีนมากกว่า อีกหน่อยรถญี่ปุ่นจะกลายเป็นแบบรถยุโรป ที่เราไฝฝันอยากได้ แต่พอใช้งานจริงไปรถจีนดีกว่า,"[[""รถ"", ""neg"", ""คิดหนักเลย""], [""รถจีน"", ""pos"", ""ดีกว่า""], [""รถญี่ปุ่น"", ""neg"", ""กลายเป็นแบบรถยุโรป""]]"
ถ้าพูดถึงแค่ความสวย มันก็สวยดีนะครับแต่ผมก็ยังชอบซีวิคเจนก่อนมากกว่า,"[[""ความสวย"",""pos"",""สวยดี""],[""ซีวิคเจนก่อน"",""pos"",""ชอบมากกว่า""]]"
ถ้ามีเงินก็จะซื้ออยู่  ไม่ชอบออฟชั่นอะไรทั้งนั้น เน้นใช้งานได้ดีและสวยถูกใจเป็นพอ ออฟชั่นไม่จำเป็นสำหรับผม,"[[""ออฟชั่น"", ""neg"", []], [""การใช้งาน"", ""pos"", []], [""ความสวย"", ""pos"", []]]"
ถ้าแรงม้า แรงบิดไม่ลดกับบอดี้นี้คือน่าเล่นมาก,"[[""แรงม้า"", ""neg"",""ลด""],[""แรงบิด"", ""neg"",""ลด""],[""บอดี้นี้"", ""pos"",""น่าเล่น""]]"
ถูกใจครับ,"[""รถ"", ""pos"", ""ถูกใจ""]"
ทั้งภายนอก ภายใน ไม่มีอะไรต่างจากโฉมเดิมเลย,"[[""ภายนอก"", ""neg"", ""ไม่มีอะไรต่าง""], [""ภายใน"", ""neg"", ""ไม่มีอะไรต่าง""]]"
ทำตัวเองแท้ๆ รถเองก็ไม่ได้ดี ซ่อมเยอะแยะ แถมอะไหล่ก็แพง ตอนนั้นซื้อเพราะอยากลองและตัวเลือกยังไม่มาก ตอนนี้เต็มตลาด,"[[""รถ"", ""neg"", ""ไม่ได้ดี"", ""ซ่อมเยอะแยะ"", ""อะไหล่"", ""แพง""], [""ตัวเลือก"", ""neg"", ""ยังไม่มาก""]]"
ทำไมเปลี่ยนกระจังหน้าฝากระโปรงลดเกรดลงมาคล้าย CITY ล่ะ,"[[ ""กระจังหน้า"", ""neg"", [""ฝากระโปรง"", ""ลดเกรด"", ""CITY""]]]"
ทำไมรถรุ่นใหม่จึงทำจอโผล่ขึ้นบนคลอลโซนตั้งแพ่แว่!ทำไมไม่ฝังในเหมือนเดิมไม่ชอบจริงๆดูโหลยโท่ยมากครับ หารุ่นเก่าใช้ดีกว่าขี้เดียดจอชุ่ยมาก(ส่วนตัวนะ),"[[""รถรุ่นใหม่"", ""neg"", ""ทำจอโผล่""], [""จอ"", ""neg"", ""ชุ่ย""], [""รถรุ่นเก่า"", ""pos"", ""ใช้ดีกว่า""]]"
ทำออกมาดูถูกคนไทยโพด  รถเป็นล้านไฟหน้าฮาโลเจน  รถปี24 ยังไม่มีหลงเหลืออยู่  กล้าทำออกมาขายได้ไง  ไม่อายรถจีนหรือไง  โคตรแย่,"[[""รถ"", ""neg"", [""ล้าน"", ""ไฟหน้าฮาโลเจน"", ""ปี24"", ""หลงเหลืออยู่"", ""ขาย"", ""รถจีน""]]]"
ทุกอย่างดูดีครับ แต่หัวเกียร์โบราณๆ ดีไซน์ง่ายๆ โง่ๆ ของวิศวะกร ไม่มีความสวยแบบดึงดูด,"[[""ทุกอย่าง"", ""pos"", []], [""หัวเกียร์"", ""neg"", [""โบราณ"", ""ง่าย"", ""โง่ๆ""]], [""ดีไซน์"", ""neg"", [""ไม่มีความสวยแบบดึงดูด""]]]"
"น่าเสียดายมาก...civic ปล่อยของไม่สุด กั๊ก Blind spot , camera 360 , sunroof ล้อแม๊กก็ไม่สวย  น่าจะเอาล้อแม๊ก version malaysia มาใส่ แบบขอผ่านก่อน","[[""civic"", ""neg"", ""ปล่อยของไม่สุด""], [""Blind spot"", ""neg"", ""กั๊ก""], [""camera 360"", ""neg"", ""กั๊ก""], [""sunroof"", ""neg"", ""ล้อแม๊กไม่สวย""], [""ล้อแม๊ก version malaysia"", ""pos"", ""ขอผ่านก่อน""]]"
"ในบรรดารถไฮบริดเท่าที่ผมขับมาหมดแม้กะทั้งรถจีน ผมว่ารถถฮอนด้าขับดีสุดสมูทสุดและประหยัดสุดแล้ว ลองลงมาไฮบริดของโตโยต้า
ส่วนไฮบริดรถจีนใครว่าดีก็ไปซื้อซ่ะไม่ต้องมาขิง คนเล่นรถญี่ปุ่นคนเขามีตังอยู่แล้ว
สำหรับผมรถไฮบริดผมยกให้รถญี่ปุ่นเท่านั้น
ผมเชื่อเลยอย่างนึงคนไทยส่วนใหญ่ติดแบรนติดยี้ห้อและติดหรู ดูได้เลยในสังคม
ส่วนเรื่องราคา ถ้าเงินถึงก็ซื้อได้สบายไม่ต้องคิดมาก เงินน้อยก็เล่นรถจีนไปแค่นั้น
ขอบคุณรถจีนที่ทำให้คนขับรถญี่ปุ่นดูแพงดูมีตังมากขึ้น5555555555555555555","[[""รถไฮบริด"", ""pos"", ""ขับดีสุดสมูทสุดและประหยัดสุด""], [""รถไฮบริด"", ""pos"", ""รถญี่ปุ่น""], [""รถไฮบริด"", ""neg"", ""รถจีน""], [""ราคา"", ""pos"", ""ไม่ต้องคิดมาก""], [""ราคา"", ""neg"", ""รถจีน""]]"
เบื่อแล้วรถญี่ปุ่นกั๊กดีนัก ราคาก็แพง ปีนี้ต้องรถจากจีนเท่านั้น," [[""รถญี่ปุ่น"", ""neg"", ""เบื่อแล้วรถญี่ปุ่นกั๊กดีนัก""], [""ราคา"", ""neg"", ""แพง""], [""รถจากจีน"", ""pos"", """"]]"
ไบน์สปอตต้องมีแล้วเพราะเป็นออฟชั่นที่จะเป็นพื้นฐานแหละ...แต่ยอมรับน่าตาสวย...เครื่องแรง!!!,"[[""ไบน์สปอต"", ""pos"", ""พื้นฐาน""],[""ตาสวย"", ""pos"", """"]], [[""เครื่อง"", ""pos"", ""แรง""]]"
"เป็นคนที่ชอบรถไฮบริดมากๆแรกๆลังเลระหว่างcivic กับ altis hybrid , ชอบดีไซนของซีวิค แต่ก็อยากได้อัลติสด้วยความเป็นไฮบริด แต่ตอนนี้ชัดแล้วไป civic e:hev แน่ๆๆ","[[""รถไฮบริด"",""pos"",""ชอบ""],[""ดีไซนของซีวิค"",""pos"",""ชอบ""],[""อัลติสด้วยความเป็นไฮบริด"",""pos"",""อยากได้""],[""civic e:hev "",""pos"",""ไปแน่ๆๆ""]]"
ไปซื้อรถจีนดีกว่า รถญี่ปุ่น แพงเวอร์  กับคุณภาพได้แค่นี้ รถจีน  byd ไม่ถึงล้าน แต่มีระบบล้ำกว่า ช่วยถอยจอด อัตโนมัติ Honda เคยคิดจะให้มามั้ย  crv ยังไม่มีเลย  55," [[""รถจีน"", ""pos"", [""byd""]], [""รถญี่ปุ่น"", ""neg"", []], [""คุณภาพ"", ""neg"", []], [""ระบบ"", ""pos"", [""ล้ำกว่า"", ""ช่วยถอยจอด อัตโนมัติ""]], [""Honda"", ""neg"", []], [""crv"", ""neg"", []]]"
ผมยังชอบรูปทรง honda ทรงสวย แต่ต้องยอมรับว่ากล้องหลัง honda นี่โคตรขี้เหร่เลยครับกากมาก กล้องไม่สมกับราคารถเลย อีกหน่อย honda ก็จะเหมือน toyota ครับชอบกั๊กสุดท้ายก็มี option เพิ่มมา,"[[""รูปทรง"", ""pos"", ""สวย""],[""กล้องหลัง honda"", ""neg"", ""ขี้เหร่""], [""กล้อง"", ""neg"", ""ไม่สมกับราคารถ""],[""honda"", ""neg"", ""กั๊กสุดท้าย""],[""option"", ""pos"", ""เพิ่มมา""]]"
ผ่านครับ ผ่านไปไกลๆ....มุกเดิมแก้โมลดฺ์เดิม เพิ่มพลาสติก เปลี่ยนล้อแม๊ก 555+ มาเม้นต์และไลค์ให้พี่เต้ยแต่ไม่ขอดูนะคะรับพี่ ใช้ FD มา 2 คันจากนั้นไม่ใช้ค่ายนี้อีกเลย,"[[""ผ่าน"", ""pos"", []], [""มุกเดิม"", ""pos"", []], [""โมลดฺ์เดิม"", ""pos"", []], [""เพิ่มพลาสติก"", ""pos"", []], [""เปลี่ยนล้อแม๊ก"", ""pos"", []], [""555+"", ""pos"", []], [""มาเม้นต์และไลค์"", ""pos"", []], [""ให้พี่เต้ย"", ""pos"", []], [""รับพี่"", ""pos"", []], [""ใช้ FD มา 2 คัน"", ""pos"", []], [""จากนั้นไม่ใช้ค่ายนี้อีกเลย"", ""neg"", []]]"
แพงจัด  อะไหล่ก็แพง  เข็ดแล้ว ฮอนด้า  โคตรจุกจิ๊ก  สเปกไม่คุ้มราคาที่จ่าย," [[""แพงจัด"", ""neg"", ""แพง""], [""อะไหล่"", ""neg"", ""แพง""], [""โคตรจุกจิ๊ก"", ""neg"", """"], [""สเปก"", ""neg"", ""ไม่คุ้มราคาที่จ่าย""]]"
ไฟก็ยังไม่ฟูลledอีก เห้อ โคตจะกั๊ก,"[[""ไฟ"", ""neg"", ""ยังไม่ฟูลled""],[""โคต"", ""neg"", ""กั๊ก""]]"
ไฟท้ายไม่สมกับเป็น civicเลยว่ะ ท้ายFcFk สวยกว่า," [[""ไฟท้าย"", ""neg"", ""ไม่สมกับเป็น civic""], [""ท้ายFcFk"", ""pos"", ""สวยกว่า""]]"
ไฟท้ายไม่สวย..รถยุคนี้ต้องเป็นแนวยาวแบบรถไฟฟ้า ตามสมัยนิยม," [[""ไฟท้าย"", ""neg"", ""ไม่สวย""], [""รถ"", ""pos"", ""ยุคนี้""], [""แนวยาว"", ""pos"", ""แบบรถไฟฟ้า""], [""สมัยนิยม"", ""pos"", """"]]"
ภายใน 1.2 ล้าน   ปวดหัวแทน,"[""ภายใน"", ""neg"", ""ปวดหัวแทน""]"
ภายใน และจอโบราณอยู่เลย,"[[""ภายใน"", ""pos"", []], [""จอโบราณ"", ""pos"", []]]"
ภายในคอนโซลขี้เหร่เหมือนเดิม,"[""คอนโซล"", ""neg"", ""ขี้เหร่""]"
แม็กสวยมาก,"[""แม็ก"", ""pos"", ""สวยมาก""]"
โมเดลนี้ไม่สวยเลย โมเดลก่อนหน้าเท่กว่า,"[[""โมเดลนี้"", ""neg"", ""ไม่สวย""], [""โมเดลก่อนหน้า"", ""pos"", ""เท่กว่า""]]"
ไม่ชอบ Honda อย่างนึงคือ เวลาเปิดไฟเลี้ยว ภาพขึ้นจอกลาง คือถ้าดู Google map อยู่นี่จะน่ารำคาญมากๆเลย function นี้เราว่า Hyundai ทำออกมา user friendly ที่สุด,"[[""Honda"", ""neg"", ""ภาพขึ้นจอ""], [""Google map"", ""pos"", ""function""], [""Hyundai"", ""pos"", ""user friendly""]]"
ไม่ต้องแต่ง เลยออกมาหล่อเลย,"[""ดีไซน์"",""pos"",""ออกมาหล่อเลย""]"
ไม่ฟังเสียงผู้บริโภคเลยค่ายนี้   Blind Spot กล้องรอบคัน นักรีวิวเขาพูดกันทุกช่อง,"[[""Blind Spot"", ""neg"", ""ไม่ฟังเสียงผู้บริโภค""], [""กล้องรอบคัน"", ""pos"", ""นักรีวิว""]]"
ไม่มีความสวยอะไรเลย หลังๆมา civic เห็นท้ายนึกว่า vios ตัวรุ่นเก่าๆ,"[[""ความสวย"", ""neg"", ""ไม่มี""], [""civic"", ""neg"", ""ท้ายนึกว่า vios ตัวรุ่นเก่าๆ""]]"
ยอมรับการตั้งราคาของฮอนด้า.สุดติ่งจริงๆ," [[""การตั้งราคาของฮอนด้า"", ""pos"", ""ยอมรับ""], [""สุดติ่ง"", ""pos"", """"]]"
ยังมั่นใจใน Honda ราคาสูงกว่าแต่ให้ความมั่นใจมากกว่ารถจีน," [[""Honda"", ""pos"", ""ความมั่นใจ""],[""ราคาสูงกว่า"", ""neg"", """"]], [[""รถจีน"", ""neg"", """"]]"
รถคันที่2ของผมcivic FD รุ่นให่มยิ่งดีไซร ยิงโบราน ผมว่ามันเหมือนปลา หัววุ้น ครับพี่," [[""รถคันที่2"", ""pos"", ""civic FD รุ่นให่มยิ่งดีไซร""], [""ดีไซน์"", ""pos"", ""เหมือนปลา""], [""หัววุ้น"", ""pos"", ""ครับพี่""]]"
รถดีอีกรุ่น,"[""รถ"",""pos"",""ดี""]"
รถสวยของจริงค่ะ,"[""รถ"",""pos"",""สวย""]"
ราคาแพงเวอร์ขึ้นไปทุกที แต่ของที่ให้มา ไม่เหมาะสมกับราคาเลย," [[""ราคา"", ""neg"", ""แพงเวอร์""], [""ของที่ให้มา"", ""neg"", ""ไม่เหมาะสม""]]"
ราคามันก็ประมานนี้ไม่ถูกไม่แพงรถเขาก็ขายดีปกติคนซื้อเขาก็ซื้อ รถจีนคุณภาพดีๆราคาต่ำกว่านี้เยอะแยะแถมอ็อปชั่นจัดเต็ม แต่ต้องเข้าใจนะว่าซิวิคพัฒนามาหลายสิปปีแล้วชื่อเสียงมันสะสมมานานคนเล่นรุถยอมจ่ายแพงดีกว่าไปซื้อรถโนเนมราคาถูก," [[""ราคารถ"", ""neg"", ""ไม่ถูกไม่แพง""], [""คุณภาพรถ"", ""pos"", ""ดี""], [""ราคา"", ""pos"", ""ต่ำกว่านี้""], [""อ็อปชั่น"", ""pos"", ""จัดเต็ม""], [""ชื่อเสียง"", ""pos"", ""สะสมมานาน""], [""ราคาซิวิค"", ""pos"", ""แพงดีกว่า""], [""รถโนเนม"", ""neg"", ""ราคาถูก""]]"
ราคาและออฟชั่นมั่นมาก รอดูยอดขายต่อจากนี้  น้าถึงกับไมรู้จะขายอะไรต้องคุยเรื่องเก่าๆ,"[[""ราคา"", ""pos"", ""มั่น""],[""ออฟชั่น"", ""pos"", ""มั่น""],[""ยอดขาย"", ""pos"", ""ต่อจากนี้""],[""เก่าๆ"", ""neg"", """"]]"
ราคาสูง อ๊อปชันน้อย สวยก็ไม่สวยทีเดียว คงขายได้นะ,"[[""ราค"", ""neg"", ""สูง""], [""อ๊อปชัน"", ""neg"", ""น้อย""], [""สวย"", ""neg"", ""ไม่สวยทีเดียว""]]"
รุ่นนี้ ตัวแฮทแบคสวยมาก น่าจะเอามาขาย,"[[""ตัวแฮทแบค"", ""pos"", ""สวย""]]"
รุ่นนี้ต้อง hb เท่านั้น ไฟท้ายสวยลงตัว อเนกประสงค์ ดันเอามาขายแต่ type R," [[""รุ่น"", ""pos"", ""hb""],[""ไฟท้าย"", ""pos"", ""สวยลงตัว""],[""อเนกประสงค์"", ""pos"", ""ดันเอามาขายแต่ type R""]]"
รู้สึกว่า หน้าFE เก่าสวยกว่าดูหรูกว่า," [[""หน้าFE"", ""pos"", ""เก่าสวย""], [""ดูหรู"", ""pos"", """"]]"
แร็คพวงเสียบ่อยครับ,"[""แร็คพวง"", ""neg"", ""เสียบ่อย""]"
แรคอ่ะ แก้รึยัง รถราคาเป็นล้านวื่งเข้าศูนย์เคลมแรคทั้งปี มา 3 รอบแล้วน่าเบื่อมากกก !,"[[""แรค"", ""pos"", ""แก้รึยัง""], [""รถราคา"", ""neg"", ""เป็นล้าน""], [""แรค"", ""neg"", ""เคลมแรคทั้งปี""], [""แรค"", ""neg"", ""มา 3 รอบแล้วน่าเบื่อมากกก""]]"
ล้อสวย เหมือน type r   fd2  กับกระจังหน้าเท่กว่าเดิม,"[[""ล้อ"", ""pos"", ""สวย""], [""กระจังหน้า"", ""pos"", ""เท่กว่าเดิม""]]"
ส๊วย จ๊บ!,"[""ดีไซน์"",""pos"",""สวย""]"
สวย ราคาแรง กั๊กนิดหน่อย,"[[""ดีไซน์"", ""pos"", ""สวย""], [""ราคา"", ""neg"", ""แรง""], [""ออปชั่น"", ""neg"", ""กั๊ก""]]"
สวยขึ้นมาเยอะ แต่ราคายังแรงไป เทียบกับออฟชั่นที่ได้,"[[""ดีไซน์"", ""pos"", ""สวยขึ้นเยอะ""], [""ราคา"", ""neg"", ""แรง""], [""ออปชั่น"", ""neg"", ""ไม่คุ้มค่า""]]"
สวยมาก อยากได้civic ehev,"[""ดีไซน์"", ""pos"", ""สวยมาก""], [""civic ehev"", ""pos"", ""อยากได้""]"
สวยมากจริงๆ,"[""ดีไซน์"", ""pos"", ""สวยมากจริงๆ""]"
สวยหรูคะ,"[""ดีไซน์"", ""pos"", ""สวยหรู""]"
สวยอ่ะ,"[""ดีไซน์"", ""pos"", ""สวย""]"
สุดยอด มีช่องแอร์หลังกับ usb-c ด้วย,"[[""ช่องแอร์หลัง"", ""pos"", ""สุดยอด""], [""usb-c"", ""pos"", ""สุดยอด""]]"
เสียงยาง เสียงภายนอกดังมากนะ,"[[""เสียงยาง"", ""neg"", ""ดังมาก""], [""เสียงภายนอก"", ""neg"", ""ดังมาก""]]"
เสียดาย 1.5 Turbo ไม่มีเครื่องเสียง BOSE," [[""เสียดาย"", ""neg"", ""1.5 Turbo""], [""เครื่องเสียง BOSE"", ""neg"", """"]]"
หน้าจอเล็กมากกกกกก,"[""หน้าจอ"", ""neg"", ""เล็กมาก""]"
หน้าหัก หน้าจอเห่ยๆ กักออฟชั่นแต่ราคาแพง ราคาขนาดนี้ กล่องรอบคันไม่มี ไม่อายรถไฟฟ้าจีนบ้างหรอคับ,"[[""หน้าจอ"", ""neg"", ""เห่ยๆ""], [""ราคา"", ""neg"", ""แพง""], [""กล่องรอบคัน"", ""neg"", ""ไม่มี""], [""รถไฟฟ้าจีน"", ""neg"", ""ไม่อาย""]]"
หลังๆภายในห้องโดยสารเงียบขึ้นเยอะเลย,"[[""ภายในห้องโดยสาร"", ""neg"", ""เงียบขึ้นเยอะเลย""]]"
เห็นรีวิวทุกครั้งผมละ งง ผมไม่เข้าใจว่าที่เท้าแขนตรงเบาะคนนั่ง ทำไมถึงเป็นแบบนั้น สรีร มันไม่ได้เลย แล้วไม่เคยปรับแก้ งง กับฮอนด้า  ราคาแบบนี้เบาะแบบนี่ไม่ควรจะเกิดขึ้นได้,"[[""เท้าแขน"", ""neg"", ""ไม่เข้าใจ"", ""ไม่ได้เลย""], [""เบาะ"", ""neg"", ""ไม่ควรจะเกิดขึ้นได้""]]"
ออกแบบเชยมากๆ  เมื่อเทียบกับดีไซด์จีน จะ ปี 2025 แล้ว ยังเฉิ่มเหมือนเดิมครับ คหสต. ไม่ว่ากัน,"[""ออกแบบ"", ""neg"", [""เชยมากๆ"",""เฉิ่มเหมือนเดิม""]]"
ออกมาแล้วไม่ต้องแต่งเพิ่มเลย ครบจบในตัวเอง,"[""ดีไซน์"", ""pos"", [""ไม่ต้องแต่งเพิ่ม"",""ครบจบในตัวเอง""]]"
ออฟชั่นอาจจะไม่เยอะ แต่ผมว่าขับแล้วสบายใจกว่ารถจีน,"[[""ออปชั่น"", ""neg"", ""ไม่เยอะ""], [""การขับขี่"", ""pos"", ""สบายใจ""]]"
อายอีโคคาร์ไหมกล่อง 360 ไม่มี,"[[""รถ"", ""neg"", ""อายอีโคคาร์""], [""กล่อง 360"", ""neg"", ""ไม่มี""]]"
เอา Honda Lane Watch อออกไปจากโลกนี้ที…,"[""Honda Lane Watch"", ""neg"", ""ออกไปจากโลกนี้""]"
ฮอนด้า ชอบทำรถยนต์แบบรถมอเตอร์ไซค์เลย ดีไซน์แต่ภายนอกให้ดูเท่ๆ  ได้ขับรถเท่ๆ  แต่ออฟชั่น + ภายใน  เทคโนโลยีความปลอดภัย ไม่มีอะไรเลย   แถมขายราคาสูงอีกต่างหาก,"[[""ฮอนด้า"", ""pos"", ""ทำรถยนต์แบบรถมอเตอร์ไซค์""], [""ดีไซน์"", ""pos"", ""ภายนอก""], [""ออฟชั่น"", ""neg"", ""ภายใน""], [""เทคโนโลยีความปลอดภัย"", ""neg"", ""ไม่มีอะไรเลย""]]"
ข้างในห่วยมากครับ,"[""ข้างใน"", ""neg"", ""ห่วย""]"
เจนเก่าสวยกว่ามาก ไม่ค่อยชอบดีไซน์เจนใหม่,"[[""เจนเก่า"", ""pos"", ""สวย""], [""ดีไซน์เจนใหม่"", ""neg"", ""ไม่ค่อยชอบ""]]"
