text,label
สรุปซื้อขายกระดานรายใหญ่เช้านี้ PSP มูลค่าสูงสุด 637 ล้านบาท,<SYMBOL> PSP <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
สรุป SET100 เช้านี้ VGI บวกสูงสุด 4%,<SYMBOL> VGI <ASPECT> ราคาหุ้น <OPINION> บวกสูงสุด <POS>
CIVIL กางแผนครึ่งปีหลัง จ่อเซ็นงาน 1.3 หมื่นล. โชว์แบ็กล็อกแน่น 2.4 หมื่นล้าน,<SYMBOL> CIVIL <ASPECT> ครึ่งปีหลัง <OPINION> กางแผน <NEU>
CIVIL กางแผนครึ่งปีหลัง จ่อเซ็นงาน 1.3 หมื่นล. โชว์แบ็กล็อกแน่น 2.4 หมื่นล้าน,<SYMBOL> CIVIL <ASPECT> เซ็นงาน <OPINION> จ่อ <NEU>
CIVIL กางแผนครึ่งปีหลัง จ่อเซ็นงาน 1.3 หมื่นล. โชว์แบ็กล็อกแน่น 2.4 หมื่นล้าน,<SYMBOL> CIVIL <ASPECT> แบ็กล็อก <OPINION> แน่น <POS>
BBIK บวก 2% โบรกมองกำไรปีนี้โต 110% แนะ “ซื้อ” ชูเป้า 156 บาท,<SYMBOL> BBIK <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
BBIK บวก 2% โบรกมองกำไรปีนี้โต 110% แนะ “ซื้อ” ชูเป้า 156 บาท,<SYMBOL> BBIK <ASPECT> กำไร <OPINION> โต <POS>
BBIK บวก 2% โบรกมองกำไรปีนี้โต 110% แนะ “ซื้อ” ชูเป้า 156 บาท,<SYMBOL> BBIK <ASPECT> แนะ <OPINION> ซื้อ <POS>
JPC ผู้นำสินค้าแฟชั่น “อาเซียน” ครอบคลุมทุกไลฟ์สไตล์,<SYMBOL> JPC <ASPECT> สินค้า <OPINION> ผู้นำ <POS>
JPC ผู้นำสินค้าแฟชั่น “อาเซียน” ครอบคลุมทุกไลฟ์สไตล์,<SYMBOL> JPC <ASPECT> ไลฟ์สไตล์ <OPINION> ครอบคลุม <POS>
ดักเก็บ 4 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ MINT-XO นำทีม,<SYMBOL> MINT <ASPECT> หุ้น <OPINION> ดักเก็บ <POS>
ดักเก็บ 4 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ MINT-XO นำทีม,<SYMBOL> XO <ASPECT> หุ้น <OPINION> ดักเก็บ <POS>
ดักเก็บ 4 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ MINT-XO นำทีม,<SYMBOL> MINT <ASPECT> ขึ้น XD <OPINION> นำทีม <POS>
ดักเก็บ 4 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ MINT-XO นำทีม,<SYMBOL> XO <ASPECT> ขึ้น XD <OPINION> นำทีม <POS>
SA แย้มโอนโครงการ “Landmark @ MRTA Station” ครึ่งปีหลัง ล็อตแรก 1.5 พันล้าน,<SYMBOL> SA <ASPECT> โอนโครงการ <OPINION> แย้ม <POS>
UAC ครึ่งปีหลังโตต่อ จ่อ COD โรงไฟฟ้าชุมชน “ภูผาม่าน” 3 MW,<SYMBOL> UAC <ASPECT> ครึ่งปีหลัง <OPINION> โตต่อ <POS>
KCE บวก 3% นำทีมกลุ่มอิเล็กฯ อานิสงส์หุ้นเทคฯ ต่างประเทศพุ่ง,<SYMBOL> KCE <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
KCE บวก 3% นำทีมกลุ่มอิเล็กฯ อานิสงส์หุ้นเทคฯ ต่างประเทศพุ่ง,<SYMBOL> KCE <ASPECT> กลุ่มอิเล็กฯ <OPINION> นำทีม <POS>
KCE บวก 3% นำทีมกลุ่มอิเล็กฯ อานิสงส์หุ้นเทคฯ ต่างประเทศพุ่ง,<SYMBOL> KCE <ASPECT> หุ้นเทคฯ <OPINION> อานิสงส์ <POS>
KCE บวก 3% นำทีมกลุ่มอิเล็กฯ อานิสงส์หุ้นเทคฯ ต่างประเทศพุ่ง,<SYMBOL> KCE <ASPECT> ต่างประเทศ <OPINION> พุ่ง <POS>
CHG บวก 3% โบรกแนะ “ซื้อ” เป้า 3.94 บ. ลุ้น Q3 โต รับรายได้ผู้ป่วยต่างชาติ,<SYMBOL> CHG <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
CHG บวก 3% โบรกแนะ “ซื้อ” เป้า 3.94 บ. ลุ้น Q3 โต รับรายได้ผู้ป่วยต่างชาติ,<SYMBOL> CHG <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
CHG บวก 3% โบรกแนะ “ซื้อ” เป้า 3.94 บ. ลุ้น Q3 โต รับรายได้ผู้ป่วยต่างชาติ,<SYMBOL> CHG <ASPECT> Q3 <OPINION> โต <POS>
CHG บวก 3% โบรกแนะ “ซื้อ” เป้า 3.94 บ. ลุ้น Q3 โต รับรายได้ผู้ป่วยต่างชาติ,<SYMBOL> CHG <ASPECT> ผู้ป่วย <OPINION> รับรายได้ <POS>
BE8 พุ่ง 3% โบรกชูเป้า 69.68 บาท ดันอัพไซด์ทะลัก 48%,<SYMBOL> BE8 <ASPECT> ราคาหุ้น <OPINION> พุ่ง <POS>
BE8 พุ่ง 3% โบรกชูเป้า 69.68 บาท ดันอัพไซด์ทะลัก 48%,<SYMBOL> BE8 <ASPECT> อัพไซด์ <OPINION> ทะลัก <POS>
PSP เปิดเทรดวันแรก 9.40 บาท เหนือจอง 52% ซื้อขายแน่น 360 ล้าน,<SYMBOL> PSP <ASPECT> ราคาหุ้น <OPINION> เหนือจอง <POS>
PSP เปิดเทรดวันแรก 9.40 บาท เหนือจอง 52% ซื้อขายแน่น 360 ล้าน,<SYMBOL> PSP <ASPECT> ซื้อขาย <OPINION> แน่น <POS>
PSP ฟอร์มดี Pre Open 5 นาทีแตะ 9 บาท เหนือจอง 45%,<SYMBOL> PSP <ASPECT> Pre Open <OPINION> ฟอร์มดี <POS>
PSP ฟอร์มดี Pre Open 5 นาทีแตะ 9 บาท เหนือจอง 45%,<SYMBOL> PSP <ASPECT> ราคาหุ้น <OPINION> เหนือจอง <POS>
BANPU มั่นใจก๊าซฯ Q3 ฟื้น เล็งดัน BKV เทรดตลาดนิวยอร์กปลายปีนี้,<SYMBOL> BANPU <ASPECT> ก๊าซฯ <OPINION> มั่นใจ <POS>
BANPU มั่นใจก๊าซฯ Q3 ฟื้น เล็งดัน BKV เทรดตลาดนิวยอร์กปลายปีนี้,<SYMBOL> BANPU <ASPECT> Q3 <OPINION> ฟื้น <POS>
BANPU มั่นใจก๊าซฯ Q3 ฟื้น เล็งดัน BKV เทรดตลาดนิวยอร์กปลายปีนี้,<SYMBOL> BANPU <ASPECT> เทรด <OPINION> เล็งดัน <POS>
CKP ผนึก BEM นำร่องใช้โซลาร์เดินรถ “สายสีน้ำเงิน-ม่วง”,<SYMBOL> CKP <ASPECT> โซลาร์ <OPINION> นำร่อง <NEU>
PSP ลงสนามเทรดวันนี้ ลุ้นวิ่งเหนือไอพีโอ 6.20 บาท,<SYMBOL> PSP <ASPECT> เทรด <OPINION> ลงสนาม <POS>
PSP ลงสนามเทรดวันนี้ ลุ้นวิ่งเหนือไอพีโอ 6.20 บาท,<SYMBOL> PSP <ASPECT> ไอพีโอ <OPINION> ลุ้นวิ่งเหนือ <POS>
ERW โอกาสทองเที่ยวไทยฟื้นตัว.!,<SYMBOL> ERW <ASPECT> ท่องเที่ยวไทย <OPINION> โอกาส <POS>
ERW โอกาสทองเที่ยวไทยฟื้นตัว.!,<SYMBOL> ERW <ASPECT> ท่องเที่ยวไทย <OPINION> ฟื้นตัว <POS>
BIZ ลงนามสัญญาซื้อขาย “ครุภัณฑ์การแพทย์” 2 โรงพยาบาล 371 ล้านบาท,<SYMBOL> BIZ <ASPECT> ซื้อขาย <OPINION> ลงนาม <NEU>
TIPH เคาะปันผล 0.50 บาท ขึ้น XD 13 ก.ย.นี้,<SYMBOL> TIPH <ASPECT> ปันผล <OPINION> เคาะ <NEU>
AOT เปิดเฮียริ่ง “ดอนเมือง” เฟส 3 เตรียมบริการปี 72 รองรับผู้โดยสาร 50 ล้านคน,<SYMBOL> AOT <ASPECT> เปิด <OPINION> เฮียริ่ง <NEU>
AOT เปิดเฮียริ่ง “ดอนเมือง” เฟส 3 เตรียมบริการปี 72 รองรับผู้โดยสาร 50 ล้านคน,<SYMBOL> AOT <ASPECT> บริการ <OPINION> เตรียม <NEU>
AOT เปิดเฮียริ่ง “ดอนเมือง” เฟส 3 เตรียมบริการปี 72 รองรับผู้โดยสาร 50 ล้านคน,<SYMBOL> AOT <ASPECT> ผู้โดยสาร <OPINION> รองรับ <NEU>
SUSCO ปันผล 0.08 บาท ขึ้น XD 11 ก.ย.นี้,<SYMBOL> SUSCO <ASPECT> เงินปันผล <OPINION> ปันผล <NEU>
HMPRO เคาะปันผล 0.18 บาท ขึ้น XD 12 ก.ย.นี้,<SYMBOL> HMPRO <ASPECT> ปันผล <OPINION> เคาะ <NEU>
BPP ส่งซิกครึ่งปีหลังโต! รับโรงไฟฟ้า Temple I เดินเครื่องเต็มกำลัง,<SYMBOL> BPP <ASPECT> ครึ่งปีหลัง <OPINION> โต <NEU>
BPP ส่งซิกครึ่งปีหลังโต! รับโรงไฟฟ้า Temple I เดินเครื่องเต็มกำลัง,<SYMBOL> BPP <ASPECT> เดินเครื่อง <OPINION> เต็มกำลัง <POS>
สรุปซื้อขายกระดานรายใหญ่วันนี้ PTT-F มูลค่าสูงสุด 250 ล้านบาท,<SYMBOL> PTT-F <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
สรุป SET100 วันนี้ BYD บวกสูงสุด 7%,<SYMBOL> BYD <ASPECT> ราคาหุ้น <OPINION> บวกสูงสุด <POS>
READY บวก 3% โบรกแนะ ”ซื้อ” ชูเป้า 18 บาท มองรายได้ Q3 โต,<SYMBOL> READY <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
READY บวก 3% โบรกแนะ ”ซื้อ” ชูเป้า 18 บาท มองรายได้ Q3 โต,<SYMBOL> READY <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
READY บวก 3% โบรกแนะ ”ซื้อ” ชูเป้า 18 บาท มองรายได้ Q3 โต,<SYMBOL> READY <ASPECT> รายได้ <OPINION> โต <POS>
ASW ปั้นแบรนด์ “The Arbor” นำร่องทำเล “ดอนเมือง – แจ้งวัฒนะ” มูลค่ากว่าพันล้าน,<SYMBOL> ASW <ASPECT> แบรนด์ <OPINION> ปั้น <POS>
ASW ปั้นแบรนด์ “The Arbor” นำร่องทำเล “ดอนเมือง – แจ้งวัฒนะ” มูลค่ากว่าพันล้าน,<SYMBOL> ASW <ASPECT> ทำเล <OPINION> นำร่อง <POS>
EPG มั่นใจยอดขาย 3 ธุรกิจสดใส ดันทั้งปี 67 โต 10%,<SYMBOL> EPG <ASPECT> ยอดขาย <OPINION> มั่นใจ <POS>
EPG มั่นใจยอดขาย 3 ธุรกิจสดใส ดันทั้งปี 67 โต 10%,<SYMBOL> EPG <ASPECT> ธุรกิจ <OPINION> สดใส <POS>
EPG มั่นใจยอดขาย 3 ธุรกิจสดใส ดันทั้งปี 67 โต 10%,<SYMBOL> EPG <ASPECT> ยอดขาย <OPINION> โต <POS>
สรุปซื้อขายกระดานรายใหญ่เช้านี้ BLA มูลค่าสูงสุด 135 ล้านบาท,<SYMBOL> BLA <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
สรุป SET100 เช้านี้ BYD บวกสูงสุด 6%,<SYMBOL> BYD <ASPECT> ราคาหุ้น <OPINION> บวกสูงสุด <POS>
EKH ลุ้น Q3 โตแกร่ง รับไฮซีซั่นกลุ่มการแพทย์ โบรกแนะซื้อเป้า 9.72 บาท,<SYMBOL> EKH <ASPECT> Q3 <OPINION> โตแกร่ง <POS>
EKH ลุ้น Q3 โตแกร่ง รับไฮซีซั่นกลุ่มการแพทย์ โบรกแนะซื้อเป้า 9.72 บาท,<SYMBOL> EKH <ASPECT> กลุ่มการแพทย์ <OPINION> รับไฮซีซั่น <POS>
EKH ลุ้น Q3 โตแกร่ง รับไฮซีซั่นกลุ่มการแพทย์ โบรกแนะซื้อเป้า 9.72 บาท,<SYMBOL> EKH <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
TKN ครึ่งหลังแจ่ม รับไฮซีซั่นส่งออกไปจีน มั่นใจปีนี้กำไรโต 60-70% ทะลุ 700 ล้าน,<SYMBOL> TKN <ASPECT> ครึ่งหลัง <OPINION> แจ่ม <POS>
TKN ครึ่งหลังแจ่ม รับไฮซีซั่นส่งออกไปจีน มั่นใจปีนี้กำไรโต 60-70% ทะลุ 700 ล้าน,<SYMBOL> TKN <ASPECT> ส่งออก <OPINION> รับไฮซีซั่น <POS>
TKN ครึ่งหลังแจ่ม รับไฮซีซั่นส่งออกไปจีน มั่นใจปีนี้กำไรโต 60-70% ทะลุ 700 ล้าน,<SYMBOL> TKN <ASPECT> กำไร <OPINION> มั่นใจ <POS>
TKN ครึ่งหลังแจ่ม รับไฮซีซั่นส่งออกไปจีน มั่นใจปีนี้กำไรโต 60-70% ทะลุ 700 ล้าน,<SYMBOL> TKN <ASPECT> กำไร <OPINION> โต <POS>
TKN ครึ่งหลังแจ่ม รับไฮซีซั่นส่งออกไปจีน มั่นใจปีนี้กำไรโต 60-70% ทะลุ 700 ล้าน,<SYMBOL> TKN <ASPECT> กำไร <OPINION> ทะลุ <POS>
GABLE รุก Health Tech ยกระดับวงการแพทย์สู่ Smart Hospital คาดโตปีละ 20%,<SYMBOL> GABLE <ASPECT> Health Tech <OPINION> รุก <POS>
GABLE รุก Health Tech ยกระดับวงการแพทย์สู่ Smart Hospital คาดโตปีละ 20%,<SYMBOL> GABLE <ASPECT> วงการแพทย์ <OPINION> ยกระดับ <POS>
GABLE รุก Health Tech ยกระดับวงการแพทย์สู่ Smart Hospital คาดโตปีละ 20%,<SYMBOL> GABLE <ASPECT> คาด <OPINION> โต <POS>
DMT จับมือพันธมิตรญี่ปุ่นรุกธุรกิจใหม่ อัพเป้าปีนี้โตเกิน 30%,<SYMBOL> DMT <ASPECT> พันธมิตร <OPINION> จับมือ <POS>
DMT จับมือพันธมิตรญี่ปุ่นรุกธุรกิจใหม่ อัพเป้าปีนี้โตเกิน 30%,<SYMBOL> DMT <ASPECT> ธุรกิจใหม่ <OPINION> รุก <POS>
DMT จับมือพันธมิตรญี่ปุ่นรุกธุรกิจใหม่ อัพเป้าปีนี้โตเกิน 30%,<SYMBOL> DMT <ASPECT> อัพเป้า <OPINION> โต <POS>
หุ้นเนื้อสัตว์วิ่งคึก! BTG นำทีมบวก 5% รับราคาหมูพุ่ง 3 สัปดาห์ติด,<SYMBOL> BTG <ASPECT> หุ้น <OPINION> วิ่งคึก <POS>
หุ้นเนื้อสัตว์วิ่งคึก! BTG นำทีมบวก 5% รับราคาหมูพุ่ง 3 สัปดาห์ติด,<SYMBOL> BTG <ASPECT> นำทีม <OPINION> บวก <POS>
หุ้นเนื้อสัตว์วิ่งคึก! BTG นำทีมบวก 5% รับราคาหมูพุ่ง 3 สัปดาห์ติด,<SYMBOL> BTG <ASPECT> ราคาหมู <OPINION> พุ่ง <POS>
STEC วิ่ง 3% เก็งคว้างาน “เมกะโปรเจกต์” ค้างท่อ รับรัฐบาลใหม่เร่งหนุน,<SYMBOL> STEC <ASPECT> ราคาหุ้น <OPINION> วิ่ง <POS>
STEC วิ่ง 3% เก็งคว้างาน “เมกะโปรเจกต์” ค้างท่อ รับรัฐบาลใหม่เร่งหนุน,<SYMBOL> STEC <ASPECT> เมกะโปรเจกต์ <OPINION> เก็งคว้างาน <POS>
STEC วิ่ง 3% เก็งคว้างาน “เมกะโปรเจกต์” ค้างท่อ รับรัฐบาลใหม่เร่งหนุน,<SYMBOL> STEC <ASPECT> รัฐบาลใหม่ <OPINION> เร่งหนุน <POS>
NEX บวก 3% โบรกแนะ “ซื้อ” เป้า 14 บาท ลุ้น Q3 ส่งมอบรถบรรทุกอีวีเพิ่ม,<SYMBOL> NEX <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
NEX บวก 3% โบรกแนะ “ซื้อ” เป้า 14 บาท ลุ้น Q3 ส่งมอบรถบรรทุกอีวีเพิ่ม,<SYMBOL> NEX <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
NEX บวก 3% โบรกแนะ “ซื้อ” เป้า 14 บาท ลุ้น Q3 ส่งมอบรถบรรทุกอีวีเพิ่ม,<SYMBOL> NEX <ASPECT> ส่งมอบรถ <OPINION> เพิ่ม <POS>
BA วิ่งต่อ 4% นิวไฮกว่า 5 ปี โบรกอัพกำไรปีนี้-พ่วงเป้าใหม่ 22 บาท,<SYMBOL> BA <ASPECT> ราคาหุ้น <OPINION> วิ่งต่อ <POS>
BA วิ่งต่อ 4% นิวไฮกว่า 5 ปี โบรกอัพกำไรปีนี้-พ่วงเป้าใหม่ 22 บาท,<SYMBOL> BA <ASPECT> ราคาหุ้น <OPINION> นิวไฮ <POS>
BA วิ่งต่อ 4% นิวไฮกว่า 5 ปี โบรกอัพกำไรปีนี้-พ่วงเป้าใหม่ 22 บาท,<SYMBOL> BA <ASPECT> โบรกอัพ <OPINION> กำไร <POS>
MOSHI ส่งซิกครึ่งหลังโตต่อ รับไฮซีซั่น-ขยายร้าน “โมชิ” ปีนี้แตะ 125 สาขา,<SYMBOL> MOSHI <ASPECT> ครึ่งหลัง <OPINION> โตต่อ <POS>
PTT มองดีมานด์ “น้ำมัน” ครึ่งปีหลังโต เดินหน้า “รถอีวี-มณีแดง” เต็มสูบ,<SYMBOL> PTT <ASPECT> ดีมานด์ <OPINION> โต <POS>
PTT มองดีมานด์ “น้ำมัน” ครึ่งปีหลังโต เดินหน้า “รถอีวี-มณีแดง” เต็มสูบ,<SYMBOL> PTT <ASPECT> รถอีวี-มณีแดง <OPINION> เดินหน้า <POS>
PTT มองดีมานด์ “น้ำมัน” ครึ่งปีหลังโต เดินหน้า “รถอีวี-มณีแดง” เต็มสูบ,<SYMBOL> PTT <ASPECT> รถอีวี-มณีแดง <OPINION> เต็มสูบ <POS>
ETE แย้มโรงงาน “เชื้อเพลิงชีวมวลอัดเม็ด” อุบลฯคืบ จ่อเสร็จ Q1/67,<SYMBOL> ETE <ASPECT> โรงงาน <OPINION> แย้ม <NEU>
ETE แย้มโรงงาน “เชื้อเพลิงชีวมวลอัดเม็ด” อุบลฯคืบ จ่อเสร็จ Q1/68,<SYMBOL> ETE <ASPECT> เสร็จ <OPINION> จ่อ <NEU>
สรุปซื้อขายกระดานรายใหญ่วันนี้ PTT-F มูลค่าสูงสุด 250 ล้านบาท,<SYMBOL> PTT-F <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
สรุป SET100 วันนี้ SJWD บวกสูงสุด 6%,<SYMBOL> SJWD <ASPECT> ราคาหุ้น <OPINION> บวกสูงสุด <POS>
SPRC ปิดบวก 4% ลุ้น Q3 พลิกกำไร รับค่าการกลั่นฟื้น ชูเป้า 11 บ.,<SYMBOL> SPRC <ASPECT> ราคาหุ้น <OPINION> ปิดบวก <POS>
SPRC ปิดบวก 4% ลุ้น Q3 พลิกกำไร รับค่าการกลั่นฟื้น ชูเป้า 11 บ.,<SYMBOL> SPRC <ASPECT> Q3 <OPINION> กำไร <POS>
SPRC ปิดบวก 4% ลุ้น Q3 พลิกกำไร รับค่าการกลั่นฟื้น ชูเป้า 11 บ.,<SYMBOL> SPRC <ASPECT> ค่าการกลั่น <OPINION> ฟื้น <POS>
RABBIT ปิดพุ่ง 16% ลุ้นครึ่งหลังรายได้อสังหาฯฟื้น-ปลดล็อกแรงกดดัน SINGER,<SYMBOL> RABBIT <ASPECT> ราคาหุ้น <OPINION> ปิดพุ่ง <POS>
RABBIT ปิดพุ่ง 16% ลุ้นครึ่งหลังรายได้อสังหาฯฟื้น-ปลดล็อกแรงกดดัน SINGER,<SYMBOL> RABBIT <ASPECT> รายได้ <OPINION> ฟื้น <POS>
RABBIT ปิดพุ่ง 16% ลุ้นครึ่งหลังรายได้อสังหาฯฟื้น-ปลดล็อกแรงกดดัน SINGER,<SYMBOL> RABBIT <ASPECT> แรงกดดัน <OPINION> ปลดล็อก <POS>
BEM ลบ 3% สวนโบรกแนะ “ซื้อ” เป้า 10.90 บาท ปีนี้กำไร 3.6 พันล้าน,<SYMBOL> BEM <ASPECT> ราคาหุ้น <OPINION> ลบ <NEG>
BEM ลบ 3% สวนโบรกแนะ “ซื้อ” เป้า 10.90 บาท ปีนี้กำไร 3.6 พันล้าน,<SYMBOL> BEM <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
BEM ลบ 3% สวนโบรกแนะ “ซื้อ” เป้า 10.90 บาท ปีนี้กำไร 3.6 พันล้าน,<SYMBOL> BEM <ASPECT> ปีนี้ <OPINION> กำไร <POS>
BEAUTY พุ่งแรง 10% แย้มครึ่งหลัง “เทิร์นอะราวด์” ลุยขยายช่องทางจำหน่ายใน-ตปท.,<SYMBOL> BEAUTY <ASPECT> ราคาหุ้น <OPINION> พุ่งแรง <POS>
BEAUTY พุ่งแรง 10% แย้มครึ่งหลัง “เทิร์นอะราวด์” ลุยขยายช่องทางจำหน่ายใน-ตปท.,<SYMBOL> BEAUTY <ASPECT> ครึ่งหลัง <OPINION> เทิร์นอะราวด์ <POS>
BEAUTY พุ่งแรง 10% แย้มครึ่งหลัง “เทิร์นอะราวด์” ลุยขยายช่องทางจำหน่ายใน-ตปท.,<SYMBOL> BEAUTY <ASPECT> ช่องทางจำหน่าย <OPINION> ลุยขยาย <POS>
SJWD ดีด 5% เล็งครึ่งปีหลังสดใส พื้นที่เช่าคลังสินค้าพุ่ง โบรกแนะ “ซื้อ” เป้า 20.70 บาท,<SYMBOL> SJWD <ASPECT> ราคาหุ้น <OPINION> ดีด <POS>
SJWD ดีด 5% เล็งครึ่งปีหลังสดใส พื้นที่เช่าคลังสินค้าพุ่ง โบรกแนะ “ซื้อ” เป้า 20.70 บาท,<SYMBOL> SJWD <ASPECT> ครึ่งปีหลัง <OPINION> สดใส <POS>
SJWD ดีด 5% เล็งครึ่งปีหลังสดใส พื้นที่เช่าคลังสินค้าพุ่ง โบรกแนะ “ซื้อ” เป้า 20.70 บาท,<SYMBOL> SJWD <ASPECT> พื้นที่เช่า <OPINION> พุ่ง <POS>
SJWD ดีด 5% เล็งครึ่งปีหลังสดใส พื้นที่เช่าคลังสินค้าพุ่ง โบรกแนะ “ซื้อ” เป้า 20.70 บาท,<SYMBOL> SJWD <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
D บวกแรง 5% ลุ้นครึ่งหลังเด่นต่อ หลังโชว์งบ 6 เดือนแรกกำไรโตทะลัก 93%,<SYMBOL> D <ASPECT> ราคาหุ้น <OPINION> บวกแรง <POS>
D บวกแรง 5% ลุ้นครึ่งหลังเด่นต่อ หลังโชว์งบ 6 เดือนแรกกำไรโตทะลัก 93%,<SYMBOL> D <ASPECT> ครึ่งหลัง <OPINION> เด่นต่อ <POS>
D บวกแรง 5% ลุ้นครึ่งหลังเด่นต่อ หลังโชว์งบ 6 เดือนแรกกำไรโตทะลัก 93%,<SYMBOL> D <ASPECT> งบ <OPINION> โชว์ <POS>
D บวกแรง 5% ลุ้นครึ่งหลังเด่นต่อ หลังโชว์งบ 6 เดือนแรกกำไรโตทะลัก 93%,<SYMBOL> D <ASPECT> กำไร <OPINION> โตทะลัก <POS>
RICHY ดีเดย์เปิด “เปิดช้อปปิ้งมอลล์” โซนใหม่ 1 ก.ย. รับต่างชาติคึกคัก,<SYMBOL> RICHY <ASPECT> เปิด <OPINION> ดีเดย์ <POS>
RICHY ดีเดย์เปิด “เปิดช้อปปิ้งมอลล์” โซนใหม่ 1 ก.ย. รับต่างชาติคึกคัก,<SYMBOL> RICHY <ASPECT> ต่างชาติ <OPINION> คึกคัก <POS>
PROEN ลงนามสัญญาโครงการ “Fiber Optic” มูลค่า 8.3 ล้านบาท,<SYMBOL> PROEN <ASPECT> สัญญา <OPINION> ลงนาม <NEU>
WHAUP ร่วมงาน “Analyst Meeting” แย้มครึ่งปีหลังโตต่อ,<SYMBOL> WHAUP <ASPECT> ครึ่งปีหลัง <OPINION> โตต่อ <POS>
NSL ลุ้นครึ่งปีหลังแจ่ม! ลุยออกสินค้าใหม่-ส่ง Rice Bar เจาะตลาดจีนครั้งแรก,<SYMBOL> NSL <ASPECT> ครึ่งปีหลัง <OPINION> แจ่ม <POS>
NSL ลุ้นครึ่งปีหลังแจ่ม! ลุยออกสินค้าใหม่-ส่ง Rice Bar เจาะตลาดจีนครั้งแรก,<SYMBOL> NSL <ASPECT> ตลาดจีน <OPINION> เจาะ <POS>
KTB โบรกแนะซื้อเป้า 23.10 บาท ลุ้น Q3/66 แจ่ม รับผลบวกก NIM สูงขึ้น,<SYMBOL> KTB <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
KTB โบรกแนะซื้อเป้า 23.10 บาท ลุ้น Q3/66 แจ่ม รับผลบวกก NIM สูงขึ้น,<SYMBOL> KTB <ASPECT> Q3/66 <OPINION> แจ่ม <POS>
KTB โบรกแนะซื้อเป้า 23.10 บาท ลุ้น Q3/66 แจ่ม รับผลบวกก NIM สูงขึ้น,<SYMBOL> KTB <ASPECT> ผลบวก <OPINION> สูงขึ้น <POS>
สรุปซื้อขายกระดานรายใหญ่เช้านี้ CPALL มูลค่าสูงสุด 5 พันล้านบาท,<SYMBOL> CPALL <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
สรุป SET100 เช้านี้ SJWD บวกสูงสุด 6%,<SYMBOL> SJWD <ASPECT> ราคาหุ้น <OPINION> บวกสูงสุด <POS>
PSP ฤกษ์ดีเทรด 30 ส.ค.นี้ ระดมทุนขยายตลาด หนุนเติบโตยั่งยืน,<SYMBOL> PSP <ASPECT> เทรด <OPINION> ฤกษ์ดี <POS>
PSP ฤกษ์ดีเทรด 30 ส.ค.นี้ ระดมทุนขยายตลาด หนุนเติบโตยั่งยืน,<SYMBOL> PSP <ASPECT> ทุน <OPINION> ระดม <POS>
PSP ฤกษ์ดีเทรด 30 ส.ค.นี้ ระดมทุนขยายตลาด หนุนเติบโตยั่งยืน,<SYMBOL> PSP <ASPECT> ตลาด <OPINION> ขยาย <POS>
PSP ฤกษ์ดีเทรด 30 ส.ค.นี้ ระดมทุนขยายตลาด หนุนเติบโตยั่งยืน,<SYMBOL> PSP <ASPECT> เติบโต <OPINION> ยั่งยืน <POS>
ดักเก็บ 8 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ AH-CCET-FPI นำทีม,<SYMBOL> AH <ASPECT> หุ้น <OPINION> ดักเก็บ <POS>
ดักเก็บ 8 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ AH-CCET-FPI นำทีม,<SYMBOL> AH <ASPECT> ก่อนขึ้น XD <OPINION> นำทีม <POS>
ดักเก็บ 8 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ AH-CCET-FPI นำทีม,<SYMBOL> CCET <ASPECT> หุ้น <OPINION> ดักเก็บ <POS>
ดักเก็บ 8 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ AH-CCET-FPI นำทีม,<SYMBOL> CCET <ASPECT> ก่อนขึ้น XD <OPINION> นำทีม <POS>
ดักเก็บ 8 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ AH-CCET-FPI นำทีม,<SYMBOL> FPI <ASPECT> หุ้น <OPINION> ดักเก็บ <POS>
ดักเก็บ 8 หุ้นปันผล ก่อนขึ้น XD พรุ่งนี้ AH-CCET-FPI นำทีม,<SYMBOL> FPI <ASPECT> ก่อนขึ้น XD <OPINION> นำทีม <POS>
