Texts,Label
ภายนอกสวยแต่ภายใน ดูอึดอัดนิดหน่อยเหมือนขับรถดั้ม อยากให้มีท้ายรถจิ๊ปด้วยอย่างเท่,"[[""ดีไซน์ภายนอก"", ""pos"", ""สวย""],[""ภายใน"", ""neg"", [""ดูอึดอัดนิดหน่อย"", ""เหมือนขับรถดั้ม""]],[""ท้ายรถจิ๊ป"", ""pos"", ""เท่""]]"
มันดูกระโหลก กะลา ปลากระป๋องจังเลยนิ,"[[""รถ"", ""neg"", [""กระโหลก"", ""กะลา"", ""ปลากระป๋อง""]]]"
"มีทุกอย่างยกเว้นขับสี่ เซ็งเป็ด 
ไปไปหาเกียร์รีโว่มาชุดขับหน้ามาใส่อีก","[[""ขับสี่"", ""neg"", [""ไม่มี"", ""เซ็งเป็ด""]]]"
มีเสาอากาศแต่ไม่มีวิทยุ,"[[""เสาอากาศ"", ""pos"", ""มี""],[""วิทยุ"", ""neg"", ""ไม่มี""]]"
รถใช้งาน ใช้ง่าย  บำรุงรักษาต่ำ  ไม่มีอะไรที่ไม่จำเป็น ราคาก็เหมาะสม  จะเอาระดับลักชัวรี่รึไงพ่อหนุ่ม,"[[""การใช้งาน"", ""pos"", ""ใช้ง่าย""], [""การบำรุงรักษา"", ""pos"", ""ต่ำ""], [""ราคา"", ""pos"", ""เหมาะสม""]]"
วัสดุมันไม่ได้หรูหรา ราคาน่าจะลงได้กว่านี้ น่าจะเริ่มต้นที่ 3.5 แสน ถึง 5.5 แสน เพราะดูจากราคาและวัสดุจริงแล้ว เมื่อเทียบความต่างกันจริง ถ้าต่างกันไม่มาก ราคาตัวท็อปอาจจะแพงไปด้วยซ้ำกันรถสำหรับเจาะตลาดคนค้าขาย,"[[""วัสดุ"", ""neg"", ""ไม่ได้หรูหรา""], [""ราคา"", ""neg"", ""แพงไป""]]"
วินเทจไม่มีเทคโนโลยี,"[""รถ"", ""neg"", [""วินเทจ"", ""ไม่มีเทคโนโลยี""]]"
เสาอากาศ นึกถึงกระบะเมื่อ 20-30 ปีก่อนเลยย,"[""เสาอากาศ"", ""neg"", ""นึกถึงกระบะเมื่อ 20-30 ปีก่อน""]"
เสียอย่างเดียวไม่มี4wdมาด้วยเพราะ ก็ไม่น้อยเลยที่เข้าไร่เข้าสวนและ รถบ้านที่ต้องการ4wd,"[[""4wd"", ""neg"", ""ไม่มี""]]"
หน้าตาได้อารมณ์ลุยจริงๆดัดแปลงเพื่อเชิงพาณิชย์ได้หลากหลายยิ่งราคารายย่อยจริงๆเข้าถึงได้ไม่ยาก,"[[""หน้าตา"", ""pos"", ""ลุย""], [""การใช้งาน"", ""pos"", ""ดัดแปลงได้หลากหลาย""], [""ราคา"", ""pos"", ""เข้าถึงได้ไม่ยาก""]]"
หน้าตาเท่ดุดันดี,"[""หน้าตา"", ""pos"", ""เท่ดุดันดี""]"
เห็นแล้วรู้สึกว่ากากมากเลยอะ ทำมาแบบนี้ เหมือนให้รถเปลือยๆมา ราคาก็ควรจะถูกกว่านี้นะ,"[[""รถ"", ""neg"", ""กาก""],[""อุปกรณ์"", ""neg"", ""ให้รถเปลือยๆ""],[""ราคา"", ""neg"", ""ควรจะถูกกว่านี้""]]"
เหล็กมันบางมาก ยืนถ่ายรูปพิงรถ รู้สึกได้เลย,"[[""เหล็ก"", ""neg"", ""บางมาก""]]"
เอาจริงๆนะ วัสดุที่ใช้หลายๆอย่าง ถ้าไม่แปะยี่ห้อโตต้า ราคานี้ ไม่ได้ขายหรอกครับ (แพงไป),"[[""วัสดุ"", ""neg"", ""ไม่คุ้มราคา""],[""ยี่ห้อ"", ""pos"", ""โตต้า""],[""ราคา"", ""neg"", ""แพงไป""]]"
ChR ขับดีสุดๆ,"[""ChR"",""pos"",""ขับดี""]"
ออกแบบมาสวยแต่ออฟชั่นกั๊กภายในทำดูดีได้แต่ไม่ทำ ราคาก็แพงสไตฮอนด้าเพราะคิดว่าคนไทยติดแบรนด์ยังงัยก็ขายได้,"[[""การออกแบบ"",""pos"",""สวย""],[""ออฟชั่น"",""neg"",""กั๊ก""],[""ภายใน"",""neg"",""ดูไม่ดี""], [""ราคา"",""neg"",แพง""], [""แบรนด์"",""neg"" ""คิดว่ายังงัยก็ขายได้""]]"
"1000cc 840,000 ใจคอทำด้วยอะไร 555555555555","[[""เครื่องยนต์"", ""neg"", ""1000cc""], [""ราคา"", ""neg"", ""840,000""], [""รถ"", ""neg"", ""ใจคอทำด้วยอะไร""]]"
City e hev sv ถือว่าใช้ได้ เริ่มคุ้มแล้ว,"[""City e hev sv"",""pos"",[""ถือว่าใช้ได้"", ""คุ้ม""]]"
Cityแรงจริง แต่เสียดายราคาแรงไปนิดหนึ่ง,"[[""เครื่องยนต์"", ""pos"", ""แรง""], [""ราคา"", ""neg"", ""แรงไปนิดหนึ่ง""]]"
ECO CAR 7แสน3 เอ่อ ราคาไม่ค่อย eco เลยนะครับ,"[[""ราคา"", ""neg"", ""ไม่ค่อย eco""]]"
HEV ถ้าราคาลงหว่านี้ น่าสนใจ,"[[""ราคา"",""neg"",""ถ้าลงหว่านี้ น่าสนใจ""]]"
Hon ยุคหลังๆ สนิมกินง่ายมากๆ,"[""Hon ยุคหลังๆ"",""neg"",""สนิมกินง่าย""]"
HRV EHEV ก็ประหยัดมากๆแล้วนะครับ นี่อยู่ใน City ผมว่าขายดีมากๆขึ้นไปอีกแน่นอนดีงามเวอร์ มี 20 โลลิตรแน่นอน,"[[""HRV EHEV"",""pos"",""ประหยัด""], [""EHEV ในCity"",""pos"",""ดีงามเวอร์""]]"
Sv ไฮบริดแพงกว่า turbo rs แต่ได้ไฟหน้าแย่กว่า แถมตัดที่พักแขนหลังออกคือไร จะดันให้ไปตัวทอปอย่างเดียว แถมตัวtop turbo ก้ไม่ให้แอร์หลังกับเบรคมือไฟฟ้าอีก ขาดๆเกินๆนะ,"[[""Sv ไฮบริด"", ""neg"", [""แพงกว่า"", ""ไฟหน้าแย่กว่า"", ""ตัดที่พักแขนหลังออก""]], [""ตัวtop turbo"", ""neg"", [""ไม่ให้แอร์หลัง"", ""ไม่ให้เบรคมือไฟฟ้า""]]]"
กั๊กแบบนี้ยอดขายยังไงก็แพ้Ativอยู่วันยันค่ำ ตัวrs7แสน5ให้ดิสเบรคแค่ล้อหน้าบ้าบอมากก,"[[""ออปชั่น"",""neg"",""กั๊ก""],[""ยอดขาย"",""neg"",""แพ้Ativ""],[""ดิสเบรคแค่ล้อหน้า"",""neg"",""บ้าบอ""]]"
ขอบคุณ honda ที่ทำให้รุ่นเก่าไม่เสียใจ เพราะแตกต่างกันไม่มาก,"[[""รุ่นเก่า"", ""neg"", ""แตกต่างกันไม่มาก""]]"
ขัดสีแดง มีที่พักแขน ดีขึ้น,"[[""สีแดง"",""neg"",""ขัดใจ""], [""ที่พักแขน"",""pos"",""ดีขึ้น""]]"
ขับดีมากค่ะ รักฮอนด้าซิตี้,"[[""การขับขี่"",""pos"",""ดีมาก""],[""ฮอนด้าซิตี้"",""pos"",""รัก""]]"
ขายแบรนด์ มากกว่า แถมราคาแพงกว่า ตัวท็อปเทียบกับ amera ตัวท็อป amera ถูกกว่าได้ อ็อฟชั่นพอๆกันเลย,"[[""แบรนด์"", ""neg"", ""ขายแบรนด์ ""], [""ราคา"", ""neg"", ""แพงกว่า""], [""ตัวท็อป amera"", ""pos"", ""ถูกกว่า""], [""อ็อฟชั่น amera"", ""pos"", ""ได้พอๆกัน""]]"
ขี้กั๊กไม่เคยเปลี่ยน 555,"[""ออปชั่น"",""neg"",""ขี้กั๊ก""]"
ขี้เหร่สุดๆ,"[""ดีไซน์"",""neg"",""ขี้เหร่""]"
เข็ดแล้วกับฮอนด้า ( ซิตี้ ),"[""ฮอนด้า ( ซิตี้ )"",""neg"",""เข็ด""]"
คนไทยฉลาดขึ้นเยอะแล้วครับฮอนด้า เห็นยอดขายค่ายจากจีนแล้ว มัวแต่กั๊กแถมราคาแพง …มีน้ำตาเช็ดแน่นอน ไม่เกิน 5 ปี,"[""ฮอนด้า"", ""neg"", [""กั๊ก"", ""ราคาแพง""]]"
เคยนั่งมาสด้าเบาะหลัว เข่าติดเก้าอี้หน้าเลย แต่ชิตี้ เหลือให้เหนียดขาอย่างเยอะ ชอบตรงนี้แหละ,"[[""มาสด้าเบาะหลัง"",""neg"",""เข่าติดเก้าอี้หน้า""], [""ชิตี้เบาะหลัง"",""pos"", [""เหลือให้เหนียดขาอย่างเยอะ"", ""ชอบ""]]]"
ชอบ svมากกว่า ชอบสีขาวๆ,"[""sv"",""pos"",""ชอบมากกว่า""],[""สีขาว"",""pos"",""ชอบ""]"
ชอบเทคโนโลยีความปลอดภัย ไป อัลเมร่า,"[""อัลเมร่า"",""neg"",""ชอบเทคโนโลยีความปลอดภัย""]"
ชอบเบาะ เปลี่ยนเบาะแล้วดี,"[""เบาะ"",""pos"",[""ชอบ"",""เปลี่ยนแล้วดี""]]"
ชอบและดูสวยดี แค่ขาดกล้อง 360 องศา,"[[""ดีไซน์"", ""pos"", [""ชอบ"", ""ดูสวยดี""]], [""กล้อง 360 องศา"", ""neg"", ""ขาด""]]"
ชอบอย่างเดียว สตาทผ่านรีโมทได้ ไม่ต้องใช้แอพ honda connect,"[[""สตาทผ่านรีโมท"",""pos"",""ชอบ""], [""แอพ Honda Connect"", ""neg"", ""ต้องใช้""]]"
ซิตตี้2024 เปิดตัวที่จีนหน้าใหม่สวยมากกกกกครับ,"[[""ซิตตี้2024 หน้าใหม่"", ""pos"", ""สวยมาก""]]"
แดง สวย มากๆ,"[[""สีแดง"", ""pos"", ""สวย""]]"
ทุกคนต้องใช้ฮอนด้านะระบบตอบสนองได้ดี,"[[""ระบบฮอนด้า"",""pos"",""ตอบสนองได้ดี""]]"
พึ่งออก city 2020 มา เสียงรอบข้างเข้ารถดังมากส่วนใหญ่ได้ยินมาจากช่วง ขับ 40 พื้นเรียบไม่ได้มีหลุมอะไร ก็ดังมากเลยค่ะแบบนี้มีปัญหาอะไรไหมค่ะ พึ่งออกมาได้ 3 วันเอง,"[[""เสียงรอบข้างเข้ารถ"",""neg"",""ดังมาก""]]"
แพงขึ้นมาก Ativ ที่จองแล้วรอรถนาน คงรอนานขึ้นไปอีก,"[[""ราคา"", ""neg"", ""แพงขึ้นมาก""], [""ยอดจอง Ativ"", ""pos"", ""มากขึ้น""]]"
ภายในเหมือนรถตู้โดยสาร ภายนอกดูหรูรถผู้บริหาร,"[[""ภายใน"", ""neg"", ""รถตู้โดยสาร""],[""ภายนอก"", ""pos"", ""หรูรถผู้บริหาร""]]"
ราคานี้แพงไปสำหรับเครื่อง1.0,"[[""ราคา"", ""neg"", ""แพง""], [""เครื่องยนต์"", ""neg"", ""1.0""]]"
ราคาบ้าไปแล้วซิตี้แปดแสนกว่า,"[""ราคา"", ""neg"", ""บ้าไปแล้ว""]"
ราคาสูงปิ้ด แต่กั้กทุกอย่าง กลับไป Ativ ดีกว่า,"[[""ราคา"",""neg"",""สูง""],[""ออปชั่น"",""neg"",""กั้ก""],[""Ativ"",""pos"",""ดี""]]"
เรื่องวัสดุอุปกรณ์ต้องยอมรับว่า Honda City ทำออกมาได้ดีกว่า Nissan Almera มาก แต่ออฟชั่นความปลอดภัยยังแพ้Almeraอีกเยอะ ก็ต้องแลกๆกันไปนะครับ,"[[""วัสดุอุปกรณ์"", ""pos"", ""ดีกว่า""], [""ออฟชั่นความปลอดภัย"", ""neg"", ""แพ้""]]"
แรงจริง,"[""เครื่องยนต์"",""pos"",""แรงจริง""]"
แรงแต่น้ำหนักเยอะไปนิด รูปร่างสวยสู้ นิวอัลมีร่าไม่ได้ เหมาะกับคนชอบของแรง,"[[""เครื่องยนต์"",""pos"",""แรง""],[""น้ำหนัก"",""neg"",""เยอะไปนิด""],[""รูปร่าง"",""neg"",""สวยสู้ นิวอัลมีร่าไม่ได้""]]"
สรุป ในราคาเกรดเดียวกัน Ativ ให้มาคุ้ม ครบสุด,"[[""Ativ"",""pos"",[""ให้มาคุ้ม"", ""ครบสุด""]]]"
ส่วนตัวของผมตัวผมใช้ฮอนด้าอยู่ เรื่องระบบเครื่องยนต์ผมไม่เถียงดี แต่วัสดุที่ใช้ ไม่ดีเลยครับงานประกอบย้อบแยบๆ วัสดุยางตามประตูก็เสื่อมง่าย ต้องสาวกเท่านั้น ที่เข้าใจ,"[[""ระบบเครื่องยนต์"", ""pos"", ""ดี""], [""วัสดุ"", ""neg"", ""ไม่ดี""], [""งานประกอบ"", ""neg"", ""ย้อบแยบๆ""], [""วัสดุยางตามประตู"", ""neg"", ""เสื่อมง่าย""]]"
สวยงาม ขายดีกว่าค่ายอื่นแน่นอน,"[[""ดีไซน์"",""pos"",""สวยงาม""]]"
สู้Toyota บ่ได้คือเก่า ดีกว่าแค่เครื่อง,"[[""รถ"",""neg"",""สู้Toyota บ่ได้""],[""เครื่อง"",""pos"",""ดีกว่า""]]"
เห็นตัวจริงอยู่บนรถเทรลเลอร์ ผมว่ามันดูแคบๆ แต่ไฟท้ายสวยจริง,"[[""ขนาด"", ""neg"", ""แคบ""], [""ไฟท้าย"", ""pos"", ""สวย""]]"
เห้อ ผมซื้อซิตตี้ รุ่น 2009 2013 แล้วมา 2017 อุตส่ารอเจนใหม่ โคตรเซงเลย ไม่สวย ไม่โดนใจ คงต้องหนีไป hrv แต่ก้ยัง honda เหมือนเดิม ราคาไม่มีตก,"[[""ดีไซน์"", ""neg"", ""ไม่สวย""], [""คุณภาพ"", ""neg"", ""ไม่โดนใจ""], [""ราคา"", ""neg"", ""ไม่มีตก""]]"
เห้อออออ หมดกัน ราคาแพง แถมกั๊กออฟชั่นอีก สาวกอย่างผมก็คงย้ายค่าย ที่คุ้มค่ากว่านี่แลัวละครับ,"[[""ราคา"", ""neg"", ""แพง""], [""ออฟชั่น"", ""neg"", ""กั๊ก""] ,[""รถ"",""neg"",""ไม่คุ้มค่า""]]"
โอ้ว ทั้งแรง ขับดี ช่วงล่างนิ่ง ประหยัดด้วย ยึดหัวหาดอีกแล้ว City gen นี้ คู่แข่งมองค้อนเลยงานนี้,"[[""เครื่องยนต์"", ""pos"", ""แรง""], [""การขับขี่"", ""pos"", ""ขับดี""], [""ช่วงล่าง"", ""pos"", ""นิ่ง""], [""อัตราสิ้นเปลือง"", ""pos"", ""ประหยัด""], [""City gen นี้"", ""pos"", ""ยึดหัวหาด""]]"
Honda  ผมใช้อยู่ใช้ดีทนทานศูนย์เยอะ ราคาแตะล้านยังไม่มีกล้องรอบคันเลย เธอกั๊กเกิ๊น,"[[""การใช้งาน Honda"", ""pos"", ""ใช้ดี""], [""ความทนทาน"", ""pos"", ""ทนทาน""], [""ศูนย์บริการ"", ""pos"", ""ศูนย์เยอะ""], [""ราคา"", ""neg"", ""แตะล้าน""], [""กล้องรอบคัน"", ""neg"", ""ไม่มี""], [""อุปกรณ์"", ""neg"", ""กั๊กเกิ๊น""]]"
ข้อเสีย....ความร้อน เปราะบาง เศษสายพานจุ่มน้ำมันอุดตัน ข้อต่อหม้อน้ำรั่ว-หัก ยังคงเป็นปัญหาจุดอ่อนข้อเสียของรถใหม่ที่ไม่ควรเกิด...ขับในเมืองรถติดไม่ประหยัดเท่าที่ควร เหมาะกับขับไกลๆต่างจังหวัดที่รถไม่ติด...20+ต่อลิตรได้อยู่,"[[""ความร้อน"", ""neg"", ""ข้อเสีย""], [""วัสดุ"", ""neg"", ""เปราะบาง""], [""เศษสายพาน"", ""neg"", ""อุดตัน""], [""ข้อต่อหม้อน้ำ"", ""neg"", [""รั่ว"", ""หัก""]], [""อัตราสิ้นเปลือง"", ""neg"", ""ไม่ประหยัด""]]"
ขาดอย่างเดียวจริงๆ คือ BSM ที่บ่นจนสื่อเลิกบ่นกันละ ปล. Ehev ค่ายเขาน่าใช้จริงงง,"[[""BSM"", ""neg"", ""ขาด""], [""Ehev"", ""pos"", ""น่าใช้""]]"
"ความคมชัดของกล้องรุ่นนี้  ณ 2024. ผมถือว่า อุบาทมากครับ  จริงๆควรทำได้ดีกว่านี้นะ  คำว่า แบรนญี่ปุ่นเนี้ย   
ลองไปรถเมกา ยุโรป หรือแม้กระทั้งจีน  กล้องชัดแจ๋วมากกๆ","[[""ความคมชัดของกล้อง"", ""neg"", ""อุบาท""], [""แบรนญี่ปุ่น"", ""neg"", ""ควรทำได้ดีกว่านี้""], [""กล้องรถเมกา ยุโรป หรือแม้กระทั้งจีน "", ""pos"", ""กล้องชัดแจ๋วมากกๆ""]]"
คอนโซลหน้าคงความเก่าไว้ ก็ ฮอนด้า ไม่มีโอกาสปรับดีไซน์บ้างหรอคะ,"[[""ดีไซน์คอนโซลหน้า"", ""neg"", [""เก่า"",""ไม่มีโอกาสปรับ""]]]"
จอกลางต่ำไปหน่อย ชอบของ Mazda ยกมาไว้บนคอนโซลเลย ไม่ต้องก้มสายตาจากถนนมาก,"[[""จอกลาง"", ""neg"", ""ต่ำ""], [""จอ Mazda"", ""pos"", [""ยกมาไว้บนคอนโซล"",""ไม่ต้องก้มสายตาจากถนน]]]"
ชอบ Honda มากแต่รู้สึกแอ๊ะ  ระยะหลังฮอนด้าซิตี้ ดูเรียบเกินไป รักษาความโบราณไว้เสมอต้นเสมอปลาย เทคโนโลยี ไม่ต้องถาม low ไม่ต่างจากเดิม,"[[""แบรนด์ Honda"", ""pos"", ""ชอบ""],[""ดีไซน์ฮอนด้าซิตี้"", ""neg"", [""ดูเรียบเกินไป"", ""โบราณ""]],[""เทคโนโลยี"", ""neg"", ""low""]]"
ชอบภายนอกแต่ภายในไม่ชอบ รอว่าจะมีรุ่นไหนมาแทนแจส เอาจริง ราคาแรงไปอ่ะ ดีไซภายในไม่สปอร์ตเหมือนภายนอกเลยอ่ะ,"[[""ดีไซน์ภายนอก"", ""pos"", ""ชอบ""],[""ดีไซน์ภายใน"", ""neg"", [""ไม่ชอบ"", ""ไม่สปอร์ต""]],[""ราคา"", ""neg"", ""แรง""],[""ดีไซภายนอก"", ""pos"", ""สปอร์ต""]]"
ตัว5ประตู เบาะลายสวยมากๆมีลายแดงด้วย สวยกว่าโคโลล่าครอสที่เบาะแดงท้้งคัน,"[[""ลายเบาะ"", ""pos"", [""สวยมากๆ"", ""มีลายแดง""]], [[""โคโลล่าครอส"", ""neg"", ""เบาะแดงท้้งคัน""]]"
ที่ต้องระวังคือพวงมาลัยย้วยกับช่วงล่างย้วยครับ   เปลี่ยนเลนตอนวิ่งไวๆเสียอาการมาก,"[[""พวงมาลัย"", ""neg"", ""ย้วย""], [""ช่วงล่าง"", ""neg"", ""ย้วย""], [""การเปลี่ยนเลน"", ""neg"", ""เสียอาการมาก""]]"
นานๆจะทำรถราคาเอื้อมถึงได้ชอบๆ,"[""ราคา"", ""pos"", [""เอื้อมถึง"", ""ชอบ""]]"
เบาะสวยมาก,"[""เบาะ"", ""pos"", ""สวยมาก""]"
ปลายท่อดู ป้ามากๆเลย สงสัย เอาไว้ขายปลายท่อ moduro,"[""ปลายท่อ"", ""neg"", ""ป้ามากๆ""]"
เป็นรถที่คุ้มมากๆ ehevประหยัดมาก,"[[""รถ"", ""pos"", ""คุ้ม""],[""ehev"", ""pos"", ""ประหยัด""]]"
ผมใช้ ตัว 1.0  รุ่นเริ่มต้น ขับดี ขับสนุก แต่ ไม่ได้ประหยัดน้ำมัน น่ะครับ 12.5-14 กม/ลิตร เลยน่ะครับ (ใช้ในเมืองน่ะครับ) แต่ทางไกลโอเครอยู่ ครับ อยู่ราวๆ 17-19 กม/ลิตร ครับ  ลองพิจารณาดูน่ะครับ,"[[""การขับขี่"", ""pos"", [""ดี"", ""สนุก""]], [""อัตราสิ้นเปลืองน้ำมันในเมือง"", ""neg"", ""ไม่ได้ประหยัด""], [""อัตราสิ้นเปลืองน้ำมันทางไกล"", ""pos"", ""โอเคร""]]"
พวงมาลัยสวยครับ ชอบแบบนี้,"[""พวงมาลัย"", ""pos"", [""สวย"",""ชอบ""]]"
ภายนอกสวยมากๆแต่ภายในไม่พัฒนา เสียดาย,"[[""ภายนอก"", ""pos"", ""สวยมากๆ""],[""ภายใน"", ""neg"", ""ไม่พัฒนา""],[""รถ"", ""neg"", ""เสียดาย""]]"
ภายในสีหวาน ถูกใจเลยค่ะ,"[""ภายใน"", ""pos"", [""สีหวาน"",""ถูกใจ""]]"
ไม่ต้องแต่งเลยสวยจัด,"[""ดีไซน์"", ""pos"", ""สวยจัด""]"
โลโก้ RS ไม่นย่าปรับฟ้อนใหม่เลยดูไม่ค่อยขลังชอบRSแบบเก่ามากกว่าคือดูรู้เลยว่านี้RSของฮฮนด้า,"[[""โลโก้"", ""neg"", [""ไม่น่าปรับฟ้อนใหม่"", ""ดูไม่ค่อยขลัง""]], [""โลโก้"", ""pos"", [""ชอบ RS แบบเก่ามากกว่า"", ""ดูรู้เลยว่าเป็น RS ของฮอนด้า""]]]"
เสียใจมากที่ซื้อมาก่อน ราคาแพงแต่ไม่มี ออฟชั่นอะไรเลย มาตัวใหม่ ใส่มาเต็มแต่ราคาถูกลง ระวังลูกค้าจะหนี เพราะทำแบบนี้,"[[""ราคาตัวก่อน"", ""neg"", ""แพง""], [""ออปชั่นตัวก่อน"", ""neg"", ""ไม่มี""], [""ออปชั่นตัวใหม่"", ""pos"", ""ใส่มาเต็ม""], [""ราคาตัวใหม่"", ""pos"", ""ถูกลง""]]"
เสียดายขี้เหนียวยางขอบประตู? ไม่เอาของคุณภาพมาใส่? ขับ90ถึว100 เสียงลมอื้ออึง? รวมทั้งรุ่นHRVด้วย? อย่างนี้จะแข่งกับจีน.. ตกม้าตายแล้วล่ะฮอนด้าเฮ้ย? แก้ไขซะหน่อยเด้อ?ถ้าอยากได้ยอดเพิ่ม,"[[""ยางขอบประตู"", ""neg"", [""ขี้เหนียว"", ""ไม่เอาของคุณภาพมา""]], [""เสียงลม"", ""neg"", ""อื้ออึง""], [""รุ่นHRV"", ""neg"", ""เสียงลมอื้ออึง""]]"
ใส่ยางอะไหล่ไม่ได้ ลาก่อน,"[""ยางอะไหล่"", ""neg"", ""ใส่ไม่ได้""]"
"Civic ,โฉมนอกสำคัญนะคนตัดสินใจ จากความสวยของมัน แต่นี่อะไร ยิ่งเปลี่ยนยิ่งไม่สวย  ความเด่น ยังไงก็ยังสู้ fc fk ยังไม่ได้","[[""ดีไซน์โฉมนอก"", ""neg"", ""ยิ่งเปลี่ยนยิ่งไม่สวย""], [""ความเด่น"", ""neg"", ""สู้ fc fk ยังไม่ได้""]]"
civic บูดจัดเลยหมดสเน่ห์ไปแล้วรถไฟฟ้ามาขายไม่ดีแน่นอนคอนเฟริม,"[""civic"",""neg"",[""บูดจัด"",""หมดสเน่ห์""]]"
Civic ผมใช้มาตั้งแต่รุ่นesโฉมปี2005มันก็ทนนะใช้จนมาถึงทุกวันนี้ตอนนี้จะเปลี่ยนรถดูหลายค่าย หลายยี่ห้อในsegmentเดียวกันมาแล้วบอกตรงเป็นรถรุ่นที่ราคาเอาเรื่องถ้าเทียบกับ0ptionที่ได้มา วัสดุอุปกรณ์ช่วงล่างก็กลางกลางไม่โดดเด่นอะไรแต่ที่ผมตัดสินใจจะเอาก็เครื่องยนต์มันนี่แหละที่เป็นจุดแข็งของcivicรองขับดูแล้วมันได้จริงยิ่งทางไกลขึ้นเขานี่หายห่วงเลยแต่คงเอาแค่รุ่นล่างสุดละครับเพราะแค่ตัวล่างสุดก็ผ่อนเหนื่อยแล้ว,"[[""Civic"", ""pos"", ""ทน""], [""ราคา"", ""neg"", ""เอาเรื่อง""], [""0ption"", ""neg"", ""ไม่สมราคา""], [""วัสดุอุปกรณ์"", ""neg"", [""กลางกลาง"", ""ไม่โดดเด่น""]], [""ช่วงล่าง"", ""neg"", [""กลางกลาง"", ""ไม่โดดเด่น""]], [""เครื่องยนต์"",""pos"", [""จุดแข็ง"", ""หายห่วง""]]]"
Gen นี้ไม่สวยไม่ว้าว,"[""Gen นี้"", ""neg"", [""ไม่สวย"", ""ไม่ว้าว""]]"
Honda City คือรถคันแรกเลยค่ะ…ใช้ยาว ๆ มาเกือบ 10 ปี ขับดี ขับสนุก ไม่มีงอแง แต่ล่าสุดขยับมาเป็น Civic e:HEV RS ขับสนุก ขับสบาย ซิ่งสนุก ยอมรับว่าเทคโนโลยี e:HEV เค้าดีจริง ๆ ค่ะ,"[[""Honda City"", ""pos"", [""ขับดี"", ""ขับสนุก"", ""ไม่มีงอแง""]], [""Civic e:HEV RS"", ""pos"", [""ขับสนุก"", ""ขับสบาย"", ""ซิ่งสนุก""]], [""เทคโนโลยี e:HEV"", ""pos"", ""ดีจริง ๆ""]]"
Honda กัักหว่ะ กำตังไว้รอ พอเห็นคือไม่ซื้อละบาย,"[""Honda"", ""neg"", [""กััก"",""ไม่ซื้อ""]]"
Land watch นารำคาญจริงครับ ออกcivic Fe มาปิดทั้งครับไม่ชอบที่ตบไฟเลี้ยวซ้ายแล้วกล้องติด,"[""Land watch"",""neg"",""น่ารำคาญ""]"
Okครับ สวยครับ,"[""ดีไซน์"", ""pos"", ""สวย""]"
กล้องรอบคัน-Wireless charger-Blind spot เทคโนโลยีที่ฮอนด้าหวงแหน ยังไงก็ไม่ใส่ให้นะ,"[[""กล้องรอบคัน"", ""neg"", ""ไม่ใส่""], [""Wireless charger"", ""pos"", ""ใส่""], [""Blind spot"", ""neg"", ""ไม่ใส่""]]"
กั๊กเสมอต้นเสมอปลาย ราคานี้ไปค่ายอื่นคุ้มค่ากว่า ไฟท้ายยังเป็นหลอดอยู่เลย กล้อง360ก็ไม่ใส่มาให้ นี้ตัว RS ไม่ไหวๆ,"[[""ออปชั่น"", ""neg"", ""กั๊ก""], [""ราคา"", ""neg"", ""ไปค่ายอื่นคุ้มค่ากว่า""], [""ไฟท้าย"", ""neg"", ""หลอด""], [""กล้อง360"", ""neg"", ""ไม่ใส่""], [""RS"", ""neg"", ""ไม่ไหวๆ""]]"
กั๊กออฟชั่น แต่คุณภาพดีจะไม่ว่า นี่ปัญหาแรคแก้หรือยังเหอะ,"[[""ออฟชั่น"", ""neg"", ""กั๊ก""], [""คุณภาพ"", ""neg"", [""ไม่ดี"", ""ปัญหาแรค""]]]"
ความจริง Honda เก่งเรื่องเทคโนโลยีน่ะ แต่ทำไมชอบกั๊กไว้ ราคาก็แพง,"[[""Honda"", ""pos"", ""เก่งเรื่องเทคโนโลยี""], [""Honda"", ""neg"", ""กั๊กเทคโนโลยีไว้""], [""ราคา"", ""neg"", ""แพง""]]"
ความสวย ยกให้ค่ายนี้จริงๆ โคตรรรรสวย คนแก่แถวบ้านไม่รู้จักรถ แต่ถ้าเป็นฮอนด้า เค้าจะพูดเลยว่ามันสวย แต่เรื่องอื่นๆ...,"[[""ดีไซน์ฮอนด้า"", ""pos"", ""โคตรรรรสวย""], [""เรื่องอื่น"",""neg"",""...""]]"
แค่ Blind spot ยังไม่ให้เล้ยย  โครตจะกั๊กไปถึงไหน,"[[""Blind spot"", ""neg"", ""ไม่ให้""], [""ออปชั่น"", ""neg"", ""กั๊ก""]]"
ใครจะว่าสวยไม่สวย แต่กูชอบมาก โคตรเรียบหรู,"[[""ดีไซน์"",""pos"",[""ชอบ"",""เรียบหรู""]]]"
ใครไม่ชอบ แต่ กูชอบ 55555,"[""รถ"",""pos"",""ชอบ""]"
จอกลางเปลี่ยนเถอะ ทำรถดูเก่ามาก,"[""จอกลาง"",""neg"",""ทำรถดูเก่า""]"
จอกลางมันเล็กไปมั้ยอ่ะ กับรถ พ.ศ. นี้,"[""จอกลาง"", ""neg"", ""เล็ก""]"
